zip,count,dollars,latitude,longitude
03431,12,365,42.9627,-72.2955
03440,3,650,43.0595,-71.9387
03442,4,210,43.0103,-71.9153
03444,7,295,42.8972,-72.0505
03449,3,150,42.9768,-71.9819
03452,2,20,42.8178,-72.0275
03457,2,200,42.9986,-72.1337
03458,20,915,42.8856,-71.947
03461,3,110,42.7544,-72.01899999999999
03467,4,350,42.968999999999994,-72.4358
03470,1,50,42.7788,-72.344
03561,4,250,44.3112,-71.7768
03570,1,5,44.4811,-71.1892
03574,1,5,44.2808,-71.6829
03581,1,25,44.4048,-71.1548
03584,1,100,44.4921,-71.5591
03585,2,65,44.2148,-71.8966
03593,1,25,44.4753,-71.1777
03601,1,25,43.196000000000005,-72.3001
03602,2,35,43.1265,-72.3281
03607,2,75,43.1956,-72.2686
03608,1,100,43.0765,-72.4155
03741,1,100,43.6601,-72.0297
03743,4,95,43.3679,-72.3422
03748,1,100,43.6256,-72.127
03750,1,50,43.7113,-72.2125
03753,2,20,43.5103,-72.1334
03755,14,2445,43.7045,-72.285
03766,7,275,43.6447,-72.2428
03768,4,515,43.7913,-72.16199999999999
03773,2,100,43.3532,-72.1838
03777,1,100,43.8941,-72.0978
03784,4,65,43.644,-72.3007
03796,1,50,,
03801,16,1650,43.0729,-70.8052
03811,2,110,42.836999999999996,-71.1603
03813,2,200,43.9878,-71.0607
03818,1,100,43.9742,-71.1503
03819,1,76,42.9234,-71.12100000000001
03820,19,941,43.1888,-70.8868
03821,1,50,43.3267,-71.0284
03823,2,15,43.1729,-70.9412
03824,6,195,43.1174,-70.9197
03825,4,200,43.2027,-71.0377
03827,3,135,42.907,-70.9876
03832,2,225,43.8839,-71.2577
03833,11,1257,42.9513,-70.9223
03837,1,25,43.4466,-71.2995
03841,1,50,42.882,-71.1758
03842,3,65,42.9359,-70.8243
03846,1,100,44.167,-71.1878
03854,1,10,43.0681,-70.7199
03855,2,150,43.443000000000005,-71.1408
03857,2,75,43.0726,-70.9553
03858,1,10,42.8678,-71.042
03860,2,57,44.0336,-71.1238
03861,6,1010,43.1192,-70.9969
03862,3,200,42.9776,-70.8267
03867,1,50,43.3092,-71.0558
03870,2,45,43.0095,-70.7652
03871,1,100,42.9806,-70.7719
03875,2,125,43.879,-71.1905
03878,1,10,43.2525,-70.8756
03883,2,510,43.8077,-71.308
03884,1,100,43.2506,-71.1625
03885,6,280,43.0194,-70.8997
03894,2,125,43.595,-71.1908
03897,1,100,43.8839,-71.2577
03901,2,35,43.2899,-70.855
03903,2,100,43.1309,-70.7822
03904,4,145,43.0921,-70.7429
03905,4,640,43.0976,-70.7121
03906,4,200,43.3254,-70.7212
03907,1,500,43.2541,-70.6094
03908,2,150,43.2292,-70.7859
03909,4,425,43.1544,-70.6578
04002,3,70,43.4875,-70.6961
04005,5,180,43.4935,-70.4883
04008,3,55,44.0368,-69.9188
04011,6,155,43.8973,-69.9779
04021,2,60,43.7974,-70.2649
04022,1,10,43.9755,-70.7924
04027,2,20,43.4597,-70.9152
04030,1,25,43.5995,-70.6906
04032,5,395,43.857,-70.1031
04037,2,55,44.0313,-70.9668
04038,4,175,43.6843,-70.468
04039,2,60,43.8942,-70.3429
04042,1,100,43.5946,-70.6051
04043,3,153,43.3881,-70.5478
04046,6,135,43.3923,-70.4729
04047,1,25,43.745,-70.9092
04055,2,200,43.9681,-70.5988
04062,3,120,43.7958,-70.4143
04063,1,50,43.5049,-70.3857
04064,2,0,43.5254,-70.3883
04072,5,300,43.5209,-70.4546
04073,1,10,43.4285,-70.7585
04074,3,100,43.5835,-70.3457
04078,1,500,43.8208,-70.1208
04079,2,150,43.781000000000006,-69.9955
04084,2,15,43.8142,-70.4807
04085,1,25,43.7719,-70.6396
04086,3,80,43.9814,-69.9378
04091,3,75,43.8299,-70.749
04092,4,55,43.6843,-70.358
04093,1,20,43.6428,-70.5376
04101,17,837,43.6606,-70.2589
04102,11,490,43.6602,-70.2898
04103,17,1400,43.6876,-70.2876
04105,7,300,43.733999999999995,-70.2625
04106,16,683,43.6318,-70.2709
04107,13,705,43.6017,-70.2301
04108,4,150,43.6589,-70.194
04123,1,20,44.4081,-70.4707
04144,2,80,,
04157,1,25,,
04210,3,85,44.0948,-70.23899999999999
04212,1,50,44.196999999999996,-70.2395
04217,2,35,44.4162,-70.8037
04240,1,10,44.0985,-70.1916
04254,4,240,44.4325,-70.1427
04260,2,150,43.9608,-70.2974
04270,2,35,44.1118,-70.5098
04280,1,10,44.1133,-70.0748
04282,3,115,44.2557,-70.2494
04312,1,10,,
