zip,dollars,timestamp,date,city,state,latitude,longitude
98003,10,"",6/30/14,Federal Way,0,47.3203,-122.3117
04312,10,"",6/12/14,Fitzroy,0,"",""
"",100,"",5/13/14,FL,0,"",""
"",50,"",5/12/14,FL,0,"",""
"",50,"",6/13/14,Fl,0,"",""
"",50,"",5/12/14,fl,0,"",""
"",25,"",7/4/14,FL,0,"",""
"",25,"",7/7/14,Fl,0,"",""
"",10,"",7/11/14,FL,0,"",""
01062,50,"",7/9/14,Florence,0,42.3219,-72.6928
33321,3,"",7/4/14,Fort Lauderdale,0,26.212,-80.2696
07679,25,"",7/4/14,"Fort Worth, TX",0,"",""
09618,25,"",7/5/14,FPO,0,"",""
09834,10,"",6/30/14,FPO,0,"",""
96306,10,"",7/5/14,FPO AP,0,"",""
01852,10,"",7/5/14,Frederiksberg,0,42.6344,-71.2983
00840,10,"",6/23/14,Frederiksted,0,"",""
00841,10,"",7/6/14,Frederiksted,0,"",""
00840,10,"",7/4/14,Frederiksted,0,"",""
01608,25,"",6/10/14,Fredrikstad,0,42.2624,-71.8003
16543,20,"",7/1/14,freedom,0,"",""
75033,100,"",7/4/14,Frisco,0,33.256,-96.8853
75033,25,"",5/23/14,Frisco,0,33.256,-96.8853
75033,25,"",6/30/14,Frisco,0,33.256,-96.8853
"",100,"",7/4/14,GA,0,"",""
"",50,"",7/2/14,ga,0,"",""
"",25,"",7/5/14,GA,0,"",""
77785,10,"",7/5/14,"Gause, Tx.",0,"",""
02820,10,"",7/4/14,Gentofte,0,"",""
67080,10,"",7/4/14,Geochang,0,"",""
27729,50,"",5/10/14,Ghent,0,"",""
27729,30,"",7/4/14,Ghent,0,"",""
"",100,"",5/10/14,Gig Harbor,0,"",""
"",10,"",7/3/14,Gig Harbor,0,"",""
69364,50,"",7/4/14,goehner,0,"",""
"",5,"",5/9/14,Gouda,0,"",""
08020,14,"",6/11/14,Graz,0,39.7992,-75.2237
22066,50,"",7/29/14,Great Falls,0,39.0039,-77.3083
80634,25,"",6/29/14,Gree,0,40.4109,-104.7541
41541,50,"",5/15/14,GREENBRAE,0,"",""
41767,100,"",6/28/14,G̦teborg,0,"",""
37083,25,"",6/13/14,G̦ttingen,0,36.539,-86.0242
00966,100,"",7/3/14,Guaynabo,0,"",""
00971,75,"",5/10/14,Guaynabo,0,"",""
00966,50,"",5/10/14,Guaynabo,0,"",""
00971,25,"",6/14/14,Guaynabo,0,"",""
00966,20,"",5/10/14,guaynabo,0,"",""
01212,40,"",6/29/14,Gulshan Model Town ,0,"",""
03755,1000,"",5/9/14,Hanover,0,43.7045,-72.285
48840,50,"",7/3/14,Haslett,0,42.7531,-84.3989
"",50,"",5/7/14,Hawaii,0,"",""
"",25,"",7/5/14,Hawaii,0,"",""
47218,5,"",6/28/14,Herzliya,0,"",""
"",100,"",5/21/14,HI,0,"",""
34691,25,"",5/10/14,Holiday,0,28.1913,-82.756
00000,50,"",7/5/14,Hong Kong,0,"",""
00000,35,"",5/7/14,Hong Kong,0,"",""
00000,25,"",6/24/14,Hong Kong,0,"",""
77098,25,"",5/10/14,Houston,0,29.735,-95.4118
00604,10,"",6/12/14,Huia,0,"",""
00791,50,"",7/5/14,Humacao,0,"",""
00791,25,"",6/12/14,Humacao,0,"",""
78024,25,"",7/3/14,Hunt,0,30.0027,-99.4823
55650,10,"",6/29/14,Hutchinson,0,"",""
"",10,"",7/6/14,Hyuga-shi,0,"",""
"",10,"",6/20/14,Ichigayakagachou,0,"",""
"",25,"",7/5/14,ID,0,"",""
"",50,"",5/7/14,Idaho 83706,0,"",""
"",50,"",7/2/14,il,0,"",""
"",10,"",7/18/14,IN,0,"",""
"",100,"",7/6/14,indiana,0,"",""
"",40,"",6/8/14,Iron Mountain,0,"",""
15642,5,"",7/4/14,Irwin,0,40.3191,-79.7205
"",100,"",5/11/14,"Ise, Mie",0,"",""
71891,100,"",5/13/14,Jersey City,0,"",""
96908,10,"",6/20/14,Jerusalem,0,"",""
02193,10,"",6/8/14,Johannesburg,0,42.4464,-71.4594
02400,50,"",7/4/14,Kbenhavn NV,0,"",""
01709,10,"",5/7/14,Kbenhavn V,0,"",""
89208,25,"",7/4/14,Kagoshima,0,"",""
96736,150,"",7/1/14,Kapa,0,"",""
"",50,"",7/5/14,Kawasaki,0,"",""
44351,100,"",7/2/14,Kfar Saba,0,"",""
44351,25,"",6/21/14,Kfar Saba,0,"",""
11754,50,"",7/5/14,Kings Park,0,40.8861,-73.2438
36400,5,"",6/13/14,"Kitamoto-shi, Saitama",0,"",""
54189,25,"",5/11/14,Klamath Falls,0,"",""
"",75,"",7/2/14,"Kobe shi, Hyogo ken",0,"",""
"",25,"",6/21/14,"Kobe shi, Hyogo ken",0,"",""
06000,10,"",7/4/14,Kolding,0,"",""
02800,20,"",6/21/14,Kongens Lyngby,0,"",""
"",10,"",7/3/14,KS,0,"",""
"",5,"",5/10/14,KS,0,"",""
50480,25,"",7/4/14,Kuala Lumpur,0,43.2456,-94.0367
"",25,"",7/8/14,Kumamoto,0,"",""
"",25,"",7/4/14,"Kurashiki, Okayama",0,"",""
21335,25,"",7/3/14,L_neburg,0,"",""
21335,10,"",7/4/14,L_neburg,0,"",""
21335,10,"",7/4/14,L_neburg,0,"",""
78045,100,"",6/13/14,Laredo,0,27.6357,-99.5923
04157,25,"",7/4/14,Leipzig,0,"",""
01054,100,"",7/5/14,Leverett,0,42.4682,-72.4993
11004,20,"",7/4/14,Lisboa,0,40.7481,-73.7114
59074,25,"",7/4/14,Ljungsbro,0,46.2724,-109.2761
95240,10,"",7/5/14,Lodi,0,38.1222,-121.2555
"",100,"",7/2/14,London,0,"",""
"",50,"",7/14/14,London,0,"",""
"",25,"",5/7/14,London,0,"",""
